n,m,seed,LB_type,time_ms
5,5,0,0,0.7028999971225858
5,5,0,1,0.7188000017777085
5,5,0,2,0.965600018389523
5,5,0,3,0.902600004337728
5,5,0,4,0.9880999568849802
5,5,0,BruteForce,5.137300002388656
5,5,238609294,0,7.378300011623651
5,5,238609294,1,6.849199999123812
5,5,238609294,2,8.653500000946224
5,5,238609294,3,5.915599991567433
5,5,238609294,4,4.990299989003688
5,5,238609294,BruteForce,5.151699995622039
5,5,477218588,0,5.980299960356206
5,5,477218588,1,6.1852000071667135
5,5,477218588,2,7.783200009725988
5,5,477218588,3,6.027399969752878
5,5,477218588,4,4.967000044416636
5,5,477218588,BruteForce,5.311200045980513
5,5,715827882,0,7.045600039418787
5,5,715827882,1,7.612299988977611
5,5,715827882,2,9.74599999608472
5,5,715827882,3,6.82720000622794
5,5,715827882,4,5.903500015847385
5,5,715827882,BruteForce,4.931000003125519
5,5,954437176,0,5.561600031796843
5,5,954437176,1,6.081900035496801
5,5,954437176,2,8.062099979724735
5,5,954437176,3,5.048500024713576
5,5,954437176,4,5.077300011180341
5,5,954437176,BruteForce,5.051500047557056
5,5,1193046470,0,2.177199989091605
5,5,1193046470,1,2.3302999907173216
5,5,1193046470,2,3.217299992684275
5,5,1193046470,3,3.042199998162687
5,5,1193046470,4,3.0220000189729035
5,5,1193046470,BruteForce,4.985599953215569
5,5,1431655764,0,5.612600012682378
5,5,1431655764,1,4.69959998736158
5,5,1431655764,2,5.095900036394596
5,5,1431655764,3,3.916700021363795
5,5,1431655764,4,3.280900011304766
5,5,1431655764,BruteForce,5.216700024902821
5,5,1670265058,0,2.680599980521947
5,5,1670265058,1,2.2782000014558434
5,5,1670265058,2,2.7439999976195395
5,5,1670265058,3,2.1781999967060983
5,5,1670265058,4,2.1778999944217503
5,5,1670265058,BruteForce,5.110999976750463
5,5,1908874352,0,4.127899999730289
5,5,1908874352,1,4.176100017502904
5,5,1908874352,2,5.707599979359657
5,5,1908874352,3,4.665900021791458
5,5,1908874352,4,4.696200019679964
5,5,1908874352,BruteForce,5.011800036299974
5,5,2147483646,0,3.2734000124037266
5,5,2147483646,1,3.5891999723389745
5,5,2147483646,2,4.851300036534667
5,5,2147483646,3,3.8979999953880906
5,5,2147483646,4,3.6347000277601182
5,5,2147483646,BruteForce,5.059899995103478
5,10,0,0,1.3832999975420535
5,10,0,1,1.3236000086180866
5,10,0,2,2.292599994689226
5,10,0,3,1.954799983650446
5,10,0,4,1.9947999971918762
5,10,0,BruteForce,9.671299951151013
5,10,238609294,0,14.808799955062568
5,10,238609294,1,11.995899956673384
5,10,238609294,2,20.510800008196384
5,10,238609294,3,12.566499994136393
5,10,238609294,4,12.408699956722558
5,10,238609294,BruteForce,9.455899999011308
5,10,477218588,0,16.617200046312064
5,10,477218588,1,14.996399986557662
5,10,477218588,2,26.33969997987151
5,10,477218588,3,15.885300002992153
5,10,477218588,4,14.390299969818443
5,10,477218588,BruteForce,9.526600013487041
5,10,715827882,0,14.224499987903982
5,10,715827882,1,13.136600027792156
5,10,715827882,2,19.577200000640005
5,10,715827882,3,12.43810000596568
5,10,715827882,4,10.998799989465624
5,10,715827882,BruteForce,10.407200024928898
5,10,954437176,0,14.002399984747171
5,10,954437176,1,14.861200004816055
5,10,954437176,2,25.20340000046417
5,10,954437176,3,15.475699969101697
5,10,954437176,4,14.627099968492985
5,10,954437176,BruteForce,9.931899956427515
5,10,1193046470,0,12.28239998454228
5,10,1193046470,1,13.174499967135489
5,10,1193046470,2,23.08209997136146
5,10,1193046470,3,14.800300006754696
5,10,1193046470,4,14.343599963467568
5,10,1193046470,BruteForce,9.671500010881573
5,10,1431655764,0,13.928300002589822
5,10,1431655764,1,13.317800010554492
5,10,1431655764,2,22.568100015632808
5,10,1431655764,3,14.229999971576035
5,10,1431655764,4,10.139700025320053
5,10,1431655764,BruteForce,9.585799998603761
5,10,1670265058,0,7.174400030635297
5,10,1670265058,1,7.146100047975779
5,10,1670265058,2,12.279300019145012
5,10,1670265058,3,8.803500037174672
5,10,1670265058,4,9.488000010605901
5,10,1670265058,BruteForce,9.72690002527088
5,10,1908874352,0,13.51380004780367
5,10,1908874352,1,14.546000049449503
5,10,1908874352,2,24.559399986173958
5,10,1908874352,3,15.81020001322031
5,10,1908874352,4,13.674399990122765
5,10,1908874352,BruteForce,9.787300019524992
5,10,2147483646,0,12.851800012867898
5,10,2147483646,1,13.77589994808659
5,10,2147483646,2,23.894199985079467
5,10,2147483646,3,15.331299975514412
5,10,2147483646,4,14.502500009257346
5,10,2147483646,BruteForce,9.760099987033755
5,20,0,0,2.4929000064730644
